frame,timestamp_sec,model,class_ids,class_names,elapsed_ms,fps,detections,detection_summary
56,1.867,bifpn,0+1+2,ebike+driver+passenger,25.396,39.377,0,"ebike:0, driver:0, passenger:0"
56,1.867,yolov8n,1+3+0,bicycle+motorcycle+person,25.903,38.606,16,"bicycle:0, motorcycle:7, person:9"
57,1.900,baseline,0+1+2,ebike+driver+passenger,24.071,41.544,0,"ebike:0, driver:0, passenger:0"
57,1.900,bifpn,0+1+2,ebike+driver+passenger,25.795,38.767,0,"ebike:0, driver:0, passenger:0"
57,1.900,yolov8n,1+3+0,bicycle+motorcycle+person,24.978,40.035,16,"bicycle:0, motorcycle:7, person:9"
58,1.933,baseline,0+1+2,ebike+driver+passenger,25.454,39.287,0,"ebike:0, driver:0, passenger:0"
58,1.933,bifpn,0+1+2,ebike+driver+passenger,24.270,41.204,0,"ebike:0, driver:0, passenger:0"
58,1.933,yolov8n,1+3+0,bicycle+motorcycle+person,27.111,36.885,16,"bicycle:0, motorcycle:7, person:9"
59,1.967,baseline,0+1+2,ebike+driver+passenger,26.318,37.996,0,"ebike:0, driver:0, passenger:0"
59,1.967,bifpn,0+1+2,ebike+driver+passenger,25.673,38.952,0,"ebike:0, driver:0, passenger:0"
59,1.967,yolov8n,1+3+0,bicycle+motorcycle+person,26.345,37.959,16,"bicycle:0, motorcycle:6, person:10"
60,2.000,baseline,0+1+2,ebike+driver+passenger,26.327,37.983,0,"ebike:0, driver:0, passenger:0"
60,2.000,bifpn,0+1+2,ebike+driver+passenger,27.125,36.867,0,"ebike:0, driver:0, passenger:0"
60,2.000,yolov8n,1+3+0,bicycle+motorcycle+person,28.989,34.496,15,"bicycle:0, motorcycle:6, person:9"
61,2.033,baseline,0+1+2,ebike+driver+passenger,25.391,39.384,0,"ebike:0, driver:0, passenger:0"
61,2.033,bifpn,0+1+2,ebike+driver+passenger,26.451,37.806,0,"ebike:0, driver:0, passenger:0"
61,2.033,yolov8n,1+3+0,bicycle+motorcycle+person,26.013,38.443,16,"bicycle:0, motorcycle:7, person:9"
62,2.067,baseline,0+1+2,ebike+driver+passenger,26.509,37.723,0,"ebike:0, driver:0, passenger:0"
62,2.067,bifpn,0+1+2,ebike+driver+passenger,25.538,39.158,0,"ebike:0, driver:0, passenger:0"
62,2.067,yolov8n,1+3+0,bicycle+motorcycle+person,28.191,35.473,17,"bicycle:0, motorcycle:7, person:10"
63,2.100,baseline,0+1+2,ebike+driver+passenger,24.645,40.577,0,"ebike:0, driver:0, passenger:0"
63,2.100,bifpn,0+1+2,ebike+driver+passenger,24.837,40.262,0,"ebike:0, driver:0, passenger:0"
63,2.100,yolov8n,1+3+0,bicycle+motorcycle+person,25.492,39.228,16,"bicycle:0, motorcycle:7, person:9"
64,2.133,baseline,0+1+2,ebike+driver+passenger,24.605,40.642,0,"ebike:0, driver:0, passenger:0"
64,2.133,bifpn,0+1+2,ebike+driver+passenger,26.020,38.432,0,"ebike:0, driver:0, passenger:0"
64,2.133,yolov8n,1+3+0,bicycle+motorcycle+person,26.847,37.248,16,"bicycle:0, motorcycle:7, person:9"
65,2.167,baseline,0+1+2,ebike+driver+passenger,24.814,40.300,0,"ebike:0, driver:0, passenger:0"
65,2.167,bifpn,0+1+2,ebike+driver+passenger,25.135,39.786,0,"ebike:0, driver:0, passenger:0"
65,2.167,yolov8n,1+3+0,bicycle+motorcycle+person,26.744,37.392,16,"bicycle:0, motorcycle:7, person:9"
66,2.200,baseline,0+1+2,ebike+driver+passenger,25.722,38.877,0,"ebike:0, driver:0, passenger:0"
66,2.200,bifpn,0+1+2,ebike+driver+passenger,25.951,38.534,0,"ebike:0, driver:0, passenger:0"
66,2.200,yolov8n,1+3+0,bicycle+motorcycle+person,27.535,36.318,16,"bicycle:0, motorcycle:7, person:9"
67,2.233,baseline,0+1+2,ebike+driver+passenger,28.314,35.318,0,"ebike:0, driver:0, passenger:0"
67,2.233,bifpn,0+1+2,ebike+driver+passenger,25.782,38.787,0,"ebike:0, driver:0, passenger:0"
67,2.233,yolov8n,1+3+0,bicycle+motorcycle+person,27.328,36.593,17,"bicycle:0, motorcycle:7, person:10"
68,2.267,baseline,0+1+2,ebike+driver+passenger,24.819,40.291,0,"ebike:0, driver:0, passenger:0"
68,2.267,bifpn,0+1+2,ebike+driver+passenger,25.397,39.374,0,"ebike:0, driver:0, passenger:0"
68,2.267,yolov8n,1+3+0,bicycle+motorcycle+person,26.667,37.499,17,"bicycle:0, motorcycle:7, person:10"
69,2.300,baseline,0+1+2,ebike+driver+passenger,26.106,38.306,0,"ebike:0, driver:0, passenger:0"
69,2.300,bifpn,0+1+2,ebike+driver+passenger,24.152,41.405,0,"ebike:0, driver:0, passenger:0"
69,2.300,yolov8n,1+3+0,bicycle+motorcycle+person,26.227,38.129,18,"bicycle:0, motorcycle:7, person:11"
70,2.333,baseline,0+1+2,ebike+driver+passenger,27.837,35.923,0,"ebike:0, driver:0, passenger:0"
70,2.333,bifpn,0+1+2,ebike+driver+passenger,24.219,41.290,0,"ebike:0, driver:0, passenger:0"
70,2.333,yolov8n,1+3+0,bicycle+motorcycle+person,27.291,36.643,17,"bicycle:0, motorcycle:7, person:10"
71,2.367,baseline,0+1+2,ebike+driver+passenger,26.482,37.762,0,"ebike:0, driver:0, passenger:0"
71,2.367,bifpn,0+1+2,ebike+driver+passenger,24.092,41.508,0,"ebike:0, driver:0, passenger:0"
71,2.367,yolov8n,1+3+0,bicycle+motorcycle+person,26.961,37.091,15,"bicycle:0, motorcycle:6, person:9"
72,2.400,baseline,0+1+2,ebike+driver+passenger,26.629,37.553,0,"ebike:0, driver:0, passenger:0"
72,2.400,bifpn,0+1+2,ebike+driver+passenger,25.572,39.105,0,"ebike:0, driver:0, passenger:0"
72,2.400,yolov8n,1+3+0,bicycle+motorcycle+person,26.030,38.417,14,"bicycle:0, motorcycle:6, person:8"
73,2.433,baseline,0+1+2,ebike+driver+passenger,25.444,39.302,0,"ebike:0, driver:0, passenger:0"
73,2.433,bifpn,0+1+2,ebike+driver+passenger,27.214,36.746,0,"ebike:0, driver:0, passenger:0"
73,2.433,yolov8n,1+3+0,bicycle+motorcycle+person,26.290,38.038,13,"bicycle:0, motorcycle:6, person:7"
74,2.467,baseline,0+1+2,ebike+driver+passenger,26.146,38.247,0,"ebike:0, driver:0, passenger:0"
74,2.467,bifpn,0+1+2,ebike+driver+passenger,26.524,37.701,0,"ebike:0, driver:0, passenger:0"
74,2.467,yolov8n,1+3+0,bicycle+motorcycle+person,28.649,34.906,14,"bicycle:0, motorcycle:6, person:8"
75,2.500,baseline,0+1+2,ebike+driver+passenger,25.316,39.500,0,"ebike:0, driver:0, passenger:0"
75,2.500,bifpn,0+1+2,ebike+driver+passenger,25.910,38.595,0,"ebike:0, driver:0, passenger:0"
75,2.500,yolov8n,1+3+0,bicycle+motorcycle+person,28.649,34.905,16,"bicycle:0, motorcycle:6, person:10"
76,2.533,baseline,0+1+2,ebike+driver+passenger,26.666,37.500,0,"ebike:0, driver:0, passenger:0"
76,2.533,bifpn,0+1+2,ebike+driver+passenger,26.503,37.732,0,"ebike:0, driver:0, passenger:0"
76,2.533,yolov8n,1+3+0,bicycle+motorcycle+person,27.530,36.324,14,"bicycle:0, motorcycle:5, person:9"
77,2.567,baseline,0+1+2,ebike+driver+passenger,27.522,36.335,0,"ebike:0, driver:0, passenger:0"
77,2.567,bifpn,0+1+2,ebike+driver+passenger,27.044,36.977,0,"ebike:0, driver:0, passenger:0"
77,2.567,yolov8n,1+3+0,bicycle+motorcycle+person,26.238,38.112,12,"bicycle:0, motorcycle:4, person:8"
78,2.600,baseline,0+1+2,ebike+driver+passenger,29.927,33.415,0,"ebike:0, driver:0, passenger:0"
