frame,timestamp_sec,model,model_path,class_id,class_name,report_conf,predict_conf,imgsz,iou,elapsed_ms,fps,detections,max_conf
31,1.033,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.348,44.746,0,0.000
31,1.033,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.348,44.746,0,0.000
31,1.033,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,24.311,41.134,0,0.000
31,1.033,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,24.311,41.134,0,0.000
31,1.033,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,24.311,41.134,0,0.000
32,1.067,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.109,45.230,0,0.000
32,1.067,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.109,45.230,0,0.000
32,1.067,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.109,45.230,0,0.000
32,1.067,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,21.964,45.528,0,0.000
32,1.067,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,21.964,45.528,0,0.000
32,1.067,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,21.964,45.528,0,0.000
33,1.100,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.062,43.362,0,0.000
33,1.100,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.062,43.362,0,0.000
33,1.100,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.062,43.362,0,0.000
33,1.100,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.037,45.379,0,0.000
33,1.100,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.037,45.379,0,0.000
33,1.100,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.037,45.379,0,0.000
34,1.133,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,21.457,46.604,0,0.000
34,1.133,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,21.457,46.604,0,0.000
34,1.133,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,21.457,46.604,0,0.000
34,1.133,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.197,43.109,0,0.000
34,1.133,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.197,43.109,0,0.000
34,1.133,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.197,43.109,0,0.000
35,1.167,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.647,44.156,0,0.000
35,1.167,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.647,44.156,0,0.000
35,1.167,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.647,44.156,0,0.000
35,1.167,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.928,43.615,0,0.000
35,1.167,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.928,43.615,0,0.000
35,1.167,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.928,43.615,0,0.000
36,1.200,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.557,42.451,0,0.000
36,1.200,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.557,42.451,0,0.000
36,1.200,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.557,42.451,0,0.000
36,1.200,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,24.169,41.375,0,0.000
36,1.200,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,24.169,41.375,0,0.000
36,1.200,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,24.169,41.375,0,0.000
37,1.233,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,24.100,41.494,0,0.000
37,1.233,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,24.100,41.494,0,0.000
37,1.233,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,24.100,41.494,0,0.000
37,1.233,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.033,43.416,0,0.000
37,1.233,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.033,43.416,0,0.000
37,1.233,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.033,43.416,0,0.000
38,1.267,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,25.936,38.556,0,0.000
38,1.267,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,25.936,38.556,0,0.000
38,1.267,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,25.936,38.556,0,0.000
38,1.267,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,24.511,40.797,0,0.000
38,1.267,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,24.511,40.797,0,0.000
38,1.267,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,24.511,40.797,0,0.000
39,1.300,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.835,43.792,0,0.000
39,1.300,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.835,43.792,0,0.000
39,1.300,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.835,43.792,0,0.000
39,1.300,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.625,42.327,0,0.000
39,1.300,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.625,42.327,0,0.000
39,1.300,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.625,42.327,0,0.000
40,1.333,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.563,44.320,0,0.000
40,1.333,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.563,44.320,0,0.000
40,1.333,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.563,44.320,0,0.000
